Sport,Age,Height,Weight,Sex
Swimming,23.0,179.0,70.0,F
Boxing,,,,M
Swimming,23.0,198.0,100.0,M
Swimming,23.0,198.0,100.0,M
Swimming,23.0,198.0,100.0,M
Basketball,33.0,170.0,65.0,F
Cycling,,,,M
Swimming,19.0,191.0,86.0,M
Swimming,19.0,191.0,86.0,M
Athletics,28.0,182.0,64.0,F
Gymnastics,20.0,158.0,48.0,F
Gymnastics,20.0,158.0,48.0,F
Gymnastics,20.0,158.0,48.0,F
Sailing,19.0,182.0,70.0,M
Football,21.0,186.0,74.0,M
Boxing,,,,M
Water Polo,35.0,194.0,103.0,M
Water Polo,28.0,188.0,88.0,M
Football,,,,M
Swimming,28.0,175.0,75.0,M
Swimming,16.0,160.0,50.0,F
Rowing,31.0,187.0,93.0,M
Table Tennis,18.0,,,M
Athletics,19.0,,,M
Boxing,17.0,,,M
Gymnastics,,,,M
Hockey,33.0,172.0,58.0,F
Swimming,20.0,202.0,90.0,M
Swimming,20.0,202.0,90.0,M
Swimming,20.0,202.0,90.0,M
Swimming,20.0,202.0,90.0,M
Swimming,20.0,202.0,90.0,M
Swimming,17.0,,,M
Swimming,17.0,,,M
Gymnastics,20.0,,,M
Fencing,38.0,,,M
Fencing,39.0,170.0,,M
Fencing,39.0,170.0,,M
Sailing,21.0,178.0,76.0,F
Handball,25.0,176.0,74.0,F
Fencing,27.0,181.0,76.0,M
Fencing,,,,M
Basketball,24.0,,,M
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Athletics,27.0,194.0,80.0,M
Athletics,34.0,165.0,50.0,F
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Water Polo,28.0,189.0,82.0,M
Handball,27.0,170.0,67.0,F
Rhythmic Gymnastics,19.0,167.0,50.0,F
Handball,29.0,196.0,113.0,M
Diving,22.0,165.0,57.0,M
Diving,22.0,165.0,57.0,M
Athletics,,,,M
Athletics,,,,M
Table Tennis,19.0,174.0,66.0,M
Water Polo,32.0,,,M
Water Polo,30.0,,,M
Football,23.0,183.0,78.0,M
Handball,28.0,196.0,92.0,M
Hockey,36.0,,,M
Athletics,25.0,160.0,50.0,F
Athletics,22.0,170.0,57.0,M
Athletics,22.0,170.0,57.0,M
Athletics,22.0,170.0,57.0,M
Athletics,22.0,170.0,57.0,M
Equestrianism,48.0,,,M
Equestrianism,48.0,,,M
Water Polo,,,,M
Art Competitions,71.0,,,M
Athletics,24.0,182.0,67.0,M
Swimming,23.0,,,F
Swimming,23.0,,,F
Rowing,19.0,,,M
Boxing,21.0,,,M
Handball,24.0,175.0,69.0,F
Equestrianism,37.0,189.0,80.0,M
Equestrianism,37.0,189.0,80.0,M
Wrestling,,,,M
Wrestling,,,,M
Football,23.0,178.0,73.0,M
Badminton,25.0,179.0,72.0,M
Hockey,35.0,165.0,64.0,M
Shooting,30.0,160.0,62.0,F
Shooting,30.0,160.0,62.0,F
Athletics,23.0,176.0,64.0,M
Athletics,23.0,176.0,64.0,M
Athletics,23.0,169.0,65.0,M
Hockey,23.0,,,M
Basketball,,,,M
Hockey,,,,M
Athletics,21.0,182.0,56.0,M
Football,21.0,174.0,73.0,M
Athletics,21.0,178.0,71.0,F
Athletics,24.0,165.0,58.0,F
Athletics,24.0,165.0,58.0,F
Shooting,31.0,169.0,60.0,F
Basketball,,,,M
Badminton,24.0,173.0,72.0,M
Fencing,,,,M
Sailing,24.0,187.0,76.0,M
Athletics,20.0,160.0,64.0,F
Athletics,20.0,160.0,64.0,F
Water Polo,26.0,192.0,102.0,M
Rowing,20.0,,,M
Athletics,29.0,177.0,60.0,F
Canoeing,23.0,183.0,75.0,M
Cycling,,,,M
Sailing,35.0,183.0,90.0,M
Gymnastics,22.0,,,F
Volleyball,23.0,184.0,80.0,F
Wrestling,23.0,191.0,75.0,M
Athletics,33.0,158.0,50.0,F
Football,29.0,,,M
Athletics,19.0,,,M
