Sport,Age,Height,Weight,Sex
Gymnastics,25.0,172.0,67.0,M
Gymnastics,25.0,172.0,67.0,M
Boxing,21.0,,,M
Athletics,25.0,183.0,76.0,M
Hockey,25.0,169.0,60.0,F
Football,21.0,159.0,69.0,M
Athletics,28.0,171.0,59.0,F
Fencing,38.0,,,M
Swimming,21.0,,,M
Art Competitions,59.0,,,F
Swimming,24.0,183.0,67.0,F
Swimming,24.0,183.0,67.0,F
Rowing,19.0,,56.0,M
Judo,21.0,182.0,81.0,M
Cycling,31.0,178.0,69.0,M
Canoeing,21.0,173.0,72.0,M
Gymnastics,16.0,,,M
Gymnastics,22.0,,,M
Athletics,21.0,,,M
Athletics,21.0,,,M
Athletics,21.0,,,M
Rowing,25.0,200.0,100.0,M
Water Polo,25.0,,,M
Shooting,33.0,,,M
Shooting,33.0,,,M
Canoeing,35.0,189.0,88.0,M
Tennis,34.0,180.0,78.0,M
Tennis,34.0,180.0,78.0,M
Sailing,29.0,,,M
Football,22.0,169.0,59.0,F
Wrestling,,,,M
Wrestling,,,,M
Athletics,28.0,183.0,75.0,M
Athletics,28.0,183.0,75.0,M
Athletics,28.0,183.0,75.0,M
Shooting,46.0,173.0,,M
Volleyball,27.0,185.0,74.0,F
Gymnastics,25.0,167.0,,M
Boxing,22.0,170.0,,M
Judo,27.0,188.0,135.0,M
Rowing,25.0,189.0,91.0,M
Cycling,28.0,178.0,60.0,M
Cycling,28.0,178.0,60.0,M
Water Polo,28.0,,,M
Volleyball,24.0,196.0,82.0,F
Athletics,31.0,,,M
Athletics,25.0,,,M
Athletics,25.0,,,M
Handball,27.0,172.0,68.0,F
Water Polo,32.0,,,M
Wrestling,24.0,,,M
Shooting,,,,M
Art Competitions,36.0,,,M
Boxing,,,,M
Water Polo,35.0,,,M
Swimming,25.0,187.0,82.0,M
Swimming,25.0,187.0,82.0,M
Hockey,36.0,,,M
Synchronized Swimming,22.0,168.0,53.0,F
Art Competitions,51.0,,,M
Athletics,29.0,174.0,58.0,M
Fencing,20.0,174.0,,M
Fencing,27.0,175.0,64.0,F
Fencing,27.0,175.0,64.0,F
Equestrianism,26.0,171.0,64.0,M
Equestrianism,26.0,171.0,64.0,M
Judo,27.0,185.0,100.0,M
Athletics,24.0,185.0,77.0,M
Athletics,22.0,182.0,77.0,M
Volleyball,24.0,202.0,88.0,M
Volleyball,24.0,201.0,87.0,M
Equestrianism,36.0,172.0,65.0,F
Equestrianism,36.0,172.0,65.0,F
Sailing,23.0,173.0,63.0,M
Sailing,34.0,,,M
Athletics,27.0,,,M
Rowing,22.0,202.0,104.0,M
Athletics,21.0,180.0,68.0,M
Athletics,21.0,180.0,68.0,M
Athletics,21.0,180.0,68.0,M
Athletics,24.0,199.0,88.0,M
Athletics,24.0,199.0,88.0,M
Fencing,36.0,173.0,63.0,F
Triathlon,25.0,160.0,49.0,F
Boxing,27.0,180.0,81.0,M
Swimming,22.0,178.0,,M
Swimming,22.0,178.0,,M
Water Polo,28.0,,,M
Basketball,27.0,,,M
Boxing,26.0,201.0,116.0,M
Equestrianism,37.0,177.0,71.0,M
Gymnastics,19.0,,,M
Athletics,21.0,174.0,65.0,F
Hockey,25.0,,,M
Boxing,30.0,,,M
Art Competitions,27.0,,,M
Athletics,28.0,172.0,60.0,M
Handball,32.0,172.0,,F
Shooting,27.0,182.0,,M
Canoeing,24.0,192.0,92.0,M
Canoeing,24.0,192.0,92.0,M
Art Competitions,51.0,,,M
Athletics,26.0,175.0,70.0,M
Gymnastics,21.0,154.0,43.0,F
Gymnastics,21.0,154.0,43.0,F
Gymnastics,21.0,154.0,43.0,F
Gymnastics,21.0,154.0,43.0,F
Gymnastics,21.0,154.0,43.0,F
Athletics,28.0,180.0,73.0,M
Athletics,28.0,180.0,73.0,M
Lacrosse,30.0,,,M
Rowing,29.0,193.0,89.0,M
Cycling,24.0,168.0,63.0,F
Cycling,27.0,182.0,68.0,M
Football,23.0,182.0,70.0,M
Cycling,23.0,167.0,53.0,F
Cycling,19.0,176.0,82.0,M
Boxing,,,,M
Athletics,33.0,,,M
Athletics,19.0,184.0,78.0,M
Athletics,19.0,184.0,78.0,M
Water Polo,27.0,194.0,92.0,M
Art Competitions,56.0,,,F
Shooting,36.0,178.0,76.0,M
Athletics,23.0,,,M
Athletics,23.0,,,M
Archery,56.0,,,M
Archery,56.0,,,M
Hockey,24.0,172.0,71.0,M
Canoeing,24.0,182.0,76.0,F
Hockey,29.0,174.0,71.0,F
Modern Pentathlon,21.0,,,M
Hockey,,,,M
Cycling,23.0,,,M
Cycling,23.0,,,M
Beach Volleyball,30.0,186.0,85.0,M
Shooting,31.0,171.0,63.0,F
Weightlifting,,,95.0,M
Archery,28.0,169.0,52.0,F
Rowing,25.0,186.0,70.0,M
Athletics,27.0,159.0,46.0,F
Athletics,27.0,159.0,46.0,F
Shooting,36.0,158.0,55.0,F
Shooting,36.0,158.0,55.0,F
Diving,16.0,163.0,52.0,F
Canoeing,25.0,183.0,90.0,M
Hockey,23.0,169.0,60.0,F
Swimming,19.0,,,M
Lacrosse,32.0,,,M
Hockey,38.0,,,M
Sailing,40.0,,,M
Shooting,24.0,180.0,100.0,M
Shooting,24.0,180.0,100.0,M
Art Competitions,,,,M
Athletics,22.0,171.0,62.0,F
Figure Skating,38.0,,,M
Shooting,29.0,179.0,91.0,M
Hockey,31.0,,,M
Athletics,26.0,174.0,63.0,M
Rowing,36.0,,,M
Cycling,28.0,160.0,54.0,F
Fencing,40.0,,,M
Fencing,40.0,,,M
Modern Pentathlon,28.0,,,M
Fencing,27.0,,,M
Art Competitions,,,,F
Cycling,,,,M
Cycling,,,,M
Equestrianism,44.0,175.0,66.0,F
Equestrianism,44.0,175.0,66.0,F
Athletics,28.0,198.0,123.0,M
Shooting,27.0,,,M
Athletics,21.0,183.0,109.0,F
Archery,46.0,,,M
Equestrianism,25.0,168.0,54.0,F
Equestrianism,25.0,168.0,54.0,F
Shooting,30.0,,,M
Shooting,30.0,,,M
Art Competitions,33.0,,,M
Swimming,20.0,186.0,70.0,M
Racquets,19.0,,,M
Water Polo,,,,M
Gymnastics,26.0,,,M
Gymnastics,26.0,,,M
Shooting,42.0,175.0,,M
Athletics,20.0,198.0,79.0,M
Swimming,23.0,196.0,95.0,M
Swimming,23.0,196.0,95.0,M
Swimming,23.0,196.0,95.0,M
Athletics,,,,M
Swimming,17.0,168.0,71.0,F
Tennis,,,,M
Wrestling,,,,M
Wrestling,,,,M
Athletics,33.0,178.0,75.0,M
Athletics,33.0,178.0,75.0,M
Rowing,20.0,,,M
Sailing,,,,M
Hockey,,,,M
Rowing,26.0,198.0,106.0,M
Shooting,34.0,,,M
Shooting,34.0,,,M
Athletics,22.0,175.0,64.0,F
Water Polo,26.0,183.0,76.0,F
Athletics,32.0,193.0,100.0,F
Boxing,21.0,188.0,81.0,M
Racquets,25.0,,,M
Racquets,25.0,,,M
Triathlon,24.0,184.0,70.0,M
Triathlon,22.0,181.0,70.0,M
Football,30.0,,,M
Shooting,27.0,,,M
Shooting,27.0,,,M
Fencing,42.0,,,M
Fencing,42.0,,,M
Badminton,22.0,182.0,75.0,F
Athletics,24.0,,,M
Athletics,24.0,,,M
Wrestling,,,,M
Swimming,18.0,,,F
Swimming,18.0,,,F
Swimming,18.0,,,F
Sailing,26.0,174.0,69.0,F
Swimming,19.0,183.0,69.0,F
Athletics,24.0,167.0,66.0,F
Cycling,21.0,,,M
Cycling,21.0,,,M
Rowing,24.0,175.0,70.0,M
Football,26.0,178.0,65.0,F
Wrestling,33.0,,,M
Rowing,28.0,186.0,85.0,M
Hockey,26.0,179.0,79.0,M
Volleyball,26.0,190.0,76.0,M
Diving,32.0,,,M
Rowing,23.0,,,M
Shooting,34.0,170.0,65.0,M
Shooting,34.0,170.0,65.0,M
Swimming,18.0,174.0,63.0,F
Swimming,18.0,174.0,63.0,F
Volleyball,23.0,187.0,85.0,M
Tennis,32.0,193.0,89.0,M
Wrestling,21.0,,,M
Shooting,33.0,,,M
Shooting,48.0,,,M
Athletics,42.0,,,M
Tennis,34.0,193.0,92.0,M
Tennis,34.0,193.0,92.0,M
Tennis,34.0,191.0,87.0,M
Tennis,34.0,191.0,87.0,M
Judo,33.0,185.0,109.0,F
Diving,23.0,160.0,61.0,F
Basketball,33.0,198.0,100.0,M
Shooting,23.0,189.0,,M
Sailing,37.0,162.0,67.0,M
Sailing,31.0,,,M
Athletics,21.0,178.0,72.0,M
Athletics,21.0,,,M
Triathlon,25.0,184.0,79.0,M
Athletics,22.0,173.0,63.0,F
Athletics,22.0,173.0,63.0,F
Canoeing,36.0,,,M
Rowing,28.0,194.0,98.0,M
Cycling,22.0,174.0,64.0,M
Rowing,29.0,176.0,75.0,F
Swimming,16.0,171.0,56.0,F
Sailing,19.0,181.0,82.0,M
Athletics,25.0,178.0,65.0,M
Shooting,37.0,169.0,70.0,M
Shooting,37.0,169.0,70.0,M
Water Polo,21.0,,,M
Cycling,21.0,165.0,68.0,F
Sailing,24.0,,,M
Athletics,27.0,,,M
Cycling,22.0,,,M
Shooting,28.0,183.0,72.0,M
Athletics,28.0,162.0,54.0,F
Cycling,38.0,,,M
Football,27.0,,,M
Hockey,31.0,,,M
Fencing,32.0,,,M
Rowing,28.0,196.0,98.0,M
Lacrosse,25.0,,,M
Art Competitions,50.0,,,M
Athletics,,,,M
Athletics,23.0,168.0,50.0,F
Polo,35.0,,,M
Rowing,22.0,,73.0,M
Water Polo,25.0,196.0,105.0,M
Athletics,21.0,,,M
Athletics,21.0,,,M
Athletics,21.0,,,M
Water Polo,30.0,,,M
Athletics,27.0,180.0,75.0,M
Football,26.0,165.0,65.0,F
Athletics,33.0,,,M
Football,19.0,176.0,68.0,M
Judo,27.0,192.0,90.0,M
Basketball,25.0,185.0,85.0,M
Gymnastics,24.0,163.0,64.0,M
Gymnastics,24.0,163.0,64.0,M
Gymnastics,24.0,163.0,64.0,M
Gymnastics,24.0,163.0,64.0,M
Gymnastics,24.0,163.0,64.0,M
Gymnastics,24.0,163.0,64.0,M
Gymnastics,24.0,163.0,64.0,M
Gymnastics,24.0,163.0,64.0,M
Diving,23.0,159.0,56.0,F
Athletics,30.0,192.0,125.0,M
Athletics,25.0,189.0,78.0,M
Equestrianism,26.0,177.0,75.0,M
Equestrianism,26.0,177.0,75.0,M
Shooting,41.0,,,M
Gymnastics,23.0,155.0,49.0,F
Gymnastics,23.0,155.0,49.0,F
Gymnastics,23.0,155.0,49.0,F
Gymnastics,23.0,155.0,49.0,F
Gymnastics,25.0,177.0,,M
Gymnastics,25.0,177.0,,M
Gymnastics,25.0,177.0,,M
Gymnastics,25.0,177.0,,M
Gymnastics,25.0,177.0,,M
Art Competitions,47.0,,,F
Rowing,21.0,,,M
Fencing,22.0,166.0,53.0,F
Athletics,24.0,172.0,56.0,F
Water Polo,25.0,172.0,82.0,F
Fencing,30.0,185.0,88.0,M
Art Competitions,49.0,,,F
Handball,25.0,175.0,67.0,F
Handball,27.0,186.0,71.0,F
Water Polo,31.0,,,M
Athletics,23.0,180.0,73.0,M
Gymnastics,16.0,140.0,,F
Gymnastics,16.0,140.0,,F
Gymnastics,16.0,140.0,,F
Water Polo,24.0,198.0,108.0,M
Diving,,,,M
Canoeing,22.0,,,M
Athletics,26.0,189.0,81.0,M
Athletics,26.0,189.0,81.0,M
Athletics,19.0,166.0,48.0,F
Sailing,33.0,,,M
Handball,29.0,,,M
Water Polo,32.0,,,M
Gymnastics,22.0,,,M
Swimming,26.0,185.0,77.0,M
Swimming,24.0,183.0,89.0,M
Rowing,30.0,192.0,98.0,M
Equestrianism,39.0,,,M
Equestrianism,39.0,,,M
Handball,19.0,176.0,72.0,F
Water Polo,30.0,,,M
Shooting,40.0,180.0,88.0,M
Shooting,40.0,180.0,88.0,M
Figure Skating,26.0,,,M
Hockey,33.0,185.0,82.0,M
Table Tennis,22.0,189.0,75.0,M
Weightlifting,27.0,153.0,50.0,F
Basketball,28.0,195.0,87.0,F
Boxing,22.0,,,M
Rowing,24.0,196.0,90.0,F
Water Polo,31.0,205.0,115.0,M
Rowing,20.0,,81.0,M
Athletics,26.0,160.0,43.0,F
Cycling,24.0,183.0,78.0,M
Hockey,27.0,,,M
Athletics,30.0,158.0,50.0,F
Sailing,21.0,186.0,82.0,M
Wrestling,32.0,170.0,75.0,F
Athletics,28.0,,,M
Rowing,23.0,,78.0,M
Rowing,32.0,,90.0,M
Rowing,31.0,,,M
Shooting,41.0,178.0,87.0,M
Trampolining,25.0,165.0,68.0,M
Swimming,29.0,189.0,83.0,M
Athletics,29.0,183.0,91.0,M
Weightlifting,,,85.5,M
Rowing,,,,M
Wrestling,24.0,171.0,79.0,M
Tug-Of-War,23.0,188.0,89.0,M
Athletics,23.0,188.0,89.0,M
Athletics,23.0,188.0,89.0,M
Athletics,23.0,188.0,89.0,M
Sailing,35.0,193.0,96.0,M
Hockey,32.0,182.0,78.0,M
Hockey,24.0,,,M
Hockey,31.0,,,M
Synchronized Swimming,17.0,170.0,,F
Athletics,33.0,198.0,98.0,M
Equestrianism,30.0,180.0,70.0,M
Equestrianism,30.0,180.0,70.0,M
Judo,33.0,182.0,81.0,M
Athletics,22.0,,,M
Athletics,25.0,,,M
Tennis,24.0,203.0,93.0,M
Racquets,23.0,,,M
Hockey,43.0,,,M
Rowing,26.0,178.0,67.0,M
Water Polo,31.0,191.0,92.0,M
Diving,21.0,,,M
Sailing,29.0,180.0,70.0,F
Water Polo,26.0,200.0,115.0,M
Gymnastics,33.0,172.0,70.0,M
Gymnastics,33.0,172.0,70.0,M
Gymnastics,33.0,172.0,70.0,M
Gymnastics,33.0,172.0,70.0,M
Football,26.0,163.0,56.0,F
Shooting,40.0,,,M
Athletics,21.0,182.0,64.0,M
Modern Pentathlon,19.0,165.0,60.0,M
Athletics,33.0,180.0,64.0,M
Rowing,22.0,,,M
Boxing,27.0,166.0,52.0,M
Athletics,19.0,,,F
Athletics,19.0,,,F
Hockey,22.0,,,M
Wrestling,26.0,160.0,55.0,F
Volleyball,26.0,198.0,97.0,M
Football,19.0,195.0,95.0,M
Athletics,,,,M
Athletics,,,,M
Basketball,29.0,189.0,80.0,F
Rowing,23.0,,,M
Tug-Of-War,36.0,,100.0,M
Athletics,21.0,180.0,75.0,M
Shooting,57.0,,,M
Shooting,57.0,,,M
Weightlifting,18.0,,79.0,M
Weightlifting,29.0,,86.0,M
Hockey,31.0,178.0,65.0,M
Athletics,22.0,,,M
Athletics,22.0,,,M
Athletics,,,,M
Athletics,,,,M
Triathlon,29.0,182.0,72.0,M
Hockey,24.0,181.0,81.0,M
Fencing,27.0,191.0,80.0,M
Fencing,27.0,191.0,80.0,M
Swimming,23.0,187.0,75.0,F
Swimming,23.0,187.0,75.0,F
Cycling,23.0,187.0,74.0,M
Swimming,36.0,190.0,90.0,M
Athletics,25.0,170.0,48.0,F
Rhythmic Gymnastics,20.0,173.0,56.0,F
Boxing,25.0,174.0,69.0,M
Athletics,25.0,189.0,83.0,M
Rowing,25.0,,77.0,M
Gymnastics,37.0,,,M
Athletics,28.0,175.0,59.0,M
Wrestling,37.0,188.0,120.0,M
Handball,32.0,172.0,67.0,F
Athletics,26.0,163.0,50.0,F
Rowing,29.0,200.0,93.0,M
Tennis,26.0,185.0,82.0,M
Athletics,24.0,,,F
Athletics,22.0,175.0,70.0,F
Athletics,30.0,155.0,46.0,F
Art Competitions,,,,F
Archery,41.0,,,M
Archery,41.0,,,M
Athletics,28.0,163.0,48.0,F
Synchronized Swimming,26.0,163.0,47.0,F
Hockey,31.0,,,M
Athletics,22.0,178.0,68.0,M
Volleyball,33.0,185.0,63.0,F
Archery,27.0,152.0,74.0,F
Rowing,29.0,,,M
Athletics,29.0,172.0,59.0,M
Basketball,,,,M
Athletics,20.0,174.0,69.0,M
Athletics,36.0,165.0,53.0,M
Gymnastics,27.0,,,M
Shooting,33.0,,,M
Athletics,28.0,201.0,120.0,M
Archery,27.0,,,F
Sailing,,,,M
Triathlon,21.0,167.0,53.0,F
Gymnastics,21.0,158.0,58.0,M
Gymnastics,21.0,158.0,58.0,M
Gymnastics,21.0,158.0,58.0,M
Rowing,29.0,175.0,73.0,F
Athletics,28.0,,,M
Fencing,,,,M
Basketball,23.0,190.0,76.0,F
Shooting,40.0,,,M
Diving,27.0,160.0,54.0,F
Diving,27.0,160.0,54.0,F
Badminton,32.0,181.0,68.0,M
Athletics,21.0,175.0,55.0,M
Rowing,24.0,183.0,73.0,M
Shooting,34.0,,,M
Shooting,34.0,171.0,81.0,F
Gymnastics,23.0,156.0,59.0,F
Gymnastics,23.0,156.0,59.0,F
Football,23.0,164.0,,M
Football,24.0,164.0,,M
Athletics,26.0,168.0,50.0,F
Sailing,25.0,184.0,85.0,M
Equestrianism,,,,M
Equestrianism,,,,M
Canoeing,29.0,183.0,86.0,M
Sailing,25.0,168.0,60.0,M
Gymnastics,22.0,,,M
Swimming,25.0,,,M
Athletics,29.0,173.0,49.0,M
Rowing,34.0,195.0,90.0,M
Basketball,30.0,191.0,90.0,M
Swimming,21.0,173.0,61.0,F
Shooting,,,,M
Boxing,19.0,,,M
Cycling,24.0,186.0,92.0,M
Weightlifting,22.0,170.0,69.0,M
Shooting,32.0,,,M
Shooting,32.0,,,M
Equestrianism,28.0,163.0,63.0,M
Equestrianism,28.0,163.0,63.0,M
Wrestling,25.0,161.0,72.0,F
Cycling,43.0,170.0,51.0,F
Athletics,28.0,189.0,86.0,M
Hockey,26.0,183.0,77.0,M
Shooting,33.0,158.0,60.0,F
Cycling,25.0,167.0,77.0,M
Cycling,,,,M
Athletics,23.0,166.0,57.0,F
Basketball,,,,M
Football,22.0,170.0,69.0,M
Swimming,22.0,186.0,80.0,M
Athletics,23.0,196.0,84.0,M
Swimming,21.0,159.0,61.0,F
Athletics,24.0,,,M
Athletics,30.0,178.0,113.0,F
Hockey,31.0,176.0,72.0,M
Fencing,31.0,,,M
Fencing,31.0,,,M
Basketball,20.0,203.0,98.0,F
Weightlifting,28.0,163.0,77.0,M
Fencing,22.0,169.0,63.0,F
Rowing,33.0,,,M
Swimming,,,,F
Swimming,,,,F
Cycling,26.0,,,M
Cycling,26.0,,,M
Cycling,26.0,,,M
Rhythmic Gymnastics,17.0,157.0,38.0,F
Rowing,24.0,,,M
Judo,30.0,180.0,90.0,M
Boxing,31.0,190.0,101.5,M
Gymnastics,17.0,152.0,49.0,F
Gymnastics,17.0,152.0,49.0,F
Football,23.0,185.0,75.0,M
Wrestling,29.0,164.0,60.0,M
Basketball,21.0,181.0,85.0,M
Rowing,29.0,191.0,96.0,M
Athletics,31.0,171.0,90.0,F
Swimming,18.0,179.0,58.0,F
Swimming,20.0,186.0,67.0,F
Swimming,20.0,186.0,67.0,F
Sailing,26.0,,,M
Art Competitions,39.0,,,M
Basketball,22.0,188.0,84.0,M
Lacrosse,30.0,,,M
Wrestling,27.0,163.0,55.0,F
Taekwondo,26.0,177.0,68.0,M
Boxing,24.0,175.0,,M
Water Polo,24.0,193.0,99.0,M
Hockey,21.0,,,M
Athletics,30.0,168.0,58.0,F
Athletics,30.0,168.0,58.0,F
Athletics,30.0,168.0,58.0,F
Equestrianism,28.0,,,M
Equestrianism,28.0,,,M
Canoeing,24.0,182.0,72.0,M
Judo,23.0,188.0,90.0,M
Gymnastics,31.0,163.0,60.0,M
Gymnastics,31.0,163.0,60.0,M
Gymnastics,31.0,163.0,60.0,M
Gymnastics,31.0,163.0,60.0,M
Gymnastics,31.0,163.0,60.0,M
Gymnastics,31.0,163.0,60.0,M
Equestrianism,36.0,,,M
Equestrianism,36.0,,,M
Basketball,23.0,178.0,,M
Weightlifting,21.0,167.0,84.0,F
Shooting,24.0,177.0,80.0,M
Shooting,24.0,177.0,80.0,M
Shooting,24.0,177.0,80.0,M
Basketball,32.0,167.0,67.0,F
Rowing,,,,M
Cycling,31.0,186.0,81.0,M
Cycling,31.0,186.0,81.0,M
Wrestling,,,,M
Wrestling,,,,M
Diving,,,,M
Handball,25.0,198.0,100.0,M
Cycling,23.0,176.0,73.0,M
Cycling,23.0,176.0,73.0,M
Cycling,23.0,176.0,73.0,M
Handball,25.0,187.0,104.0,M
Sailing,40.0,,,M
Basketball,21.0,188.0,85.0,F
Trampolining,30.0,165.0,62.0,M
Athletics,24.0,168.0,60.0,M
Volleyball,22.0,188.0,80.0,F
Rhythmic Gymnastics,27.0,163.0,46.0,F
Cycling,31.0,170.0,58.0,F
Cycling,31.0,170.0,58.0,F
Swimming,19.0,,,M
Swimming,19.0,,,M
Fencing,31.0,,,M
Fencing,31.0,,,M
Athletics,24.0,,,F
Athletics,31.0,193.0,154.0,M
Athletics,16.0,,,F
Athletics,20.0,180.0,77.0,M
Diving,17.0,160.0,42.0,M
Modern Pentathlon,30.0,180.0,73.0,M
Canoeing,33.0,,,M
Gymnastics,25.0,169.0,66.0,M
Gymnastics,25.0,169.0,66.0,M
Gymnastics,25.0,169.0,66.0,M
Gymnastics,25.0,169.0,66.0,M
Gymnastics,25.0,169.0,66.0,M
Gymnastics,25.0,169.0,66.0,M
Rowing,23.0,193.0,96.0,M
Diving,19.0,168.0,,M
Diving,19.0,168.0,,M
Gymnastics,18.0,,,M
Athletics,25.0,162.0,54.0,F
Weightlifting,25.0,,57.5,M
Swimming,,,,F
Art Competitions,48.0,,,M
Sailing,31.0,163.0,64.0,F
Rowing,30.0,,,M
Boxing,19.0,168.0,49.0,M
Football,19.0,177.0,72.0,M
Judo,26.0,161.0,57.0,F
Art Competitions,36.0,,,M
Art Competitions,36.0,,,M
Sailing,,,,M
Shooting,,,,M
Wrestling,31.0,185.0,130.0,M
Handball,31.0,173.0,65.0,F
Athletics,30.0,177.0,62.0,F
Rowing,35.0,191.0,91.0,M
Synchronized Swimming,22.0,174.0,54.0,F
Synchronized Swimming,22.0,174.0,54.0,F
Basketball,20.0,179.0,61.0,F
Football,19.0,182.0,76.0,M
Basketball,24.0,,,M
Athletics,38.0,165.0,60.0,M
Basketball,33.0,180.0,77.0,F
Cycling,29.0,179.0,70.0,M
Shooting,47.0,,,M
Shooting,47.0,,,M
Athletics,31.0,169.0,56.0,F
Tennis,39.0,,,M
Tennis,39.0,,,M
Tennis,39.0,,,M
Wrestling,31.0,147.0,48.0,F
Fencing,28.0,175.0,,M
Shooting,28.0,175.0,,M
Fencing,28.0,175.0,,M
Shooting,28.0,175.0,,M
Shooting,28.0,175.0,,M
Shooting,28.0,175.0,,M
Shooting,28.0,175.0,,M
Shooting,28.0,,,M
Shooting,28.0,,,M
Shooting,28.0,,,M
Shooting,28.0,,,M
Shooting,28.0,,,M
Shooting,28.0,,,M
Fencing,31.0,,,M
Cycling,22.0,179.0,68.0,F
Swimming,16.0,170.0,61.0,F
Handball,22.0,175.0,69.0,F
Wrestling,27.0,,,M
Wrestling,22.0,,,M
Equestrianism,37.0,,,M
Equestrianism,37.0,,,M
Gymnastics,24.0,,,M
Gymnastics,24.0,,,M
Athletics,24.0,,,M
Football,30.0,,,M
Sailing,38.0,,,M
Athletics,22.0,,,F
Swimming,27.0,174.0,69.0,F
Swimming,27.0,174.0,69.0,F
Football,23.0,,,M
Rugby,24.0,170.0,,M
Sailing,25.0,179.0,69.0,F
Shooting,46.0,,,M
Football,24.0,163.0,55.0,F
Swimming,22.0,187.0,82.0,M
Swimming,22.0,187.0,82.0,M
Shooting,46.0,175.0,74.0,M
Swimming,27.0,,,F
Swimming,27.0,,,F
Swimming,27.0,,,F
Athletics,24.0,,,M
Handball,32.0,190.0,100.0,M
Basketball,28.0,200.0,100.0,M
Boxing,22.0,,,M
Athletics,23.0,184.0,70.0,M
Equestrianism,38.0,,,M
Equestrianism,38.0,,,M
Athletics,30.0,168.0,59.0,M
Athletics,30.0,168.0,59.0,M
Sailing,25.0,164.0,63.0,F
Sailing,,,,M
Equestrianism,36.0,180.0,77.0,M
Equestrianism,36.0,180.0,77.0,M
Judo,32.0,158.0,52.0,F
Canoeing,28.0,184.0,75.0,M
Shooting,25.0,182.0,93.0,M
Shooting,25.0,182.0,93.0,M
Canoeing,23.0,168.0,63.0,F
Canoeing,23.0,168.0,63.0,F
Athletics,33.0,175.0,61.0,M
Boxing,27.0,,,M
Rugby,21.0,,,M
Hockey,25.0,184.0,89.0,M
Boxing,19.0,,,M
Swimming,30.0,185.0,77.0,M
Swimming,30.0,185.0,77.0,M
Taekwondo,16.0,168.0,57.0,F
Swimming,23.0,,,F
Swimming,23.0,,,F
Swimming,23.0,,,F
Athletics,22.0,,,M
Athletics,22.0,,,M
Athletics,22.0,,,M
Athletics,22.0,,,M
Athletics,,,,M
Volleyball,22.0,183.0,84.0,F
Swimming,23.0,,,M
Swimming,23.0,,,M
Athletics,26.0,176.0,136.0,F
Athletics,26.0,178.0,70.0,M
Cycling,23.0,,,M
Athletics,25.0,182.0,71.0,M
Athletics,25.0,182.0,71.0,M
Athletics,25.0,182.0,71.0,M
Gymnastics,29.0,,,F
Swimming,24.0,184.0,75.0,M
Swimming,24.0,184.0,75.0,M
Athletics,23.0,183.0,70.0,M
Equestrianism,30.0,175.0,64.0,M
Rowing,21.0,,78.0,M
Athletics,28.0,,,F
Athletics,19.0,,,M
Athletics,33.0,187.0,117.0,M
Athletics,35.0,170.0,54.0,F
Water Polo,38.0,185.0,100.0,F
Football,26.0,173.0,,M
Athletics,30.0,,,M
Water Polo,30.0,,,M
Sailing,35.0,189.0,98.0,M
Shooting,30.0,,,M
Shooting,30.0,,,M
Basketball,32.0,185.0,74.0,F
Football,26.0,,,M
Rhythmic Gymnastics,18.0,170.0,61.0,F
Fencing,28.0,193.0,93.0,M
Fencing,28.0,193.0,93.0,M
Swimming,22.0,167.0,59.0,F
Weightlifting,31.0,,63.0,F
Swimming,22.0,182.0,71.0,F
Swimming,22.0,182.0,71.0,F
Sailing,,,,M
Shooting,27.0,162.0,56.0,F
Shooting,27.0,162.0,56.0,F
Volleyball,21.0,196.0,82.0,M
Athletics,28.0,174.0,78.0,F
Gymnastics,30.0,,,M
Gymnastics,24.0,,,M
Gymnastics,34.0,,,M
Athletics,33.0,165.0,61.0,M
Swimming,27.0,175.0,75.0,M
Swimming,27.0,175.0,75.0,M
Volleyball,20.0,167.0,55.0,F
Wrestling,21.0,157.0,48.0,F
Judo,19.0,183.0,100.0,M
Swimming,21.0,175.0,73.0,M
Water Polo,27.0,,,M
Diving,21.0,151.0,47.0,F
Diving,37.0,,,M
Boxing,24.0,183.0,91.0,M
Boxing,26.0,178.0,,M
Judo,21.0,160.0,60.0,M
Diving,25.0,167.0,66.0,M
Diving,25.0,167.0,66.0,M
Cycling,33.0,170.0,61.0,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Fencing,20.0,,,M
Swimming,19.0,178.0,66.0,F
Water Polo,,,,M
Gymnastics,23.0,160.0,54.0,F
Gymnastics,23.0,160.0,54.0,F
Gymnastics,23.0,160.0,54.0,F
Gymnastics,23.0,160.0,54.0,F
Cycling,25.0,172.0,64.0,M
Cycling,25.0,172.0,64.0,M
Basketball,22.0,,,M
Football,21.0,169.0,60.0,F
Rowing,25.0,,,M
Basketball,33.0,185.0,77.0,F
Gymnastics,,,,M
Hockey,23.0,175.0,76.0,M
Athletics,24.0,183.0,76.0,M
Boxing,21.0,168.0,,M
Equestrianism,32.0,176.0,65.0,F
Equestrianism,32.0,176.0,65.0,F
Football,20.0,191.0,76.0,M
Basketball,25.0,193.0,90.0,M
Canoeing,25.0,171.0,70.0,M
Canoeing,25.0,171.0,70.0,M
Equestrianism,31.0,,,M
Equestrianism,31.0,,,M
Hockey,22.0,163.0,58.0,F
Football,25.0,184.0,74.0,M
